Reg_cd;Sec_cd;int_kstock;ratio_kstock
OE;10;0.693596145;8.970220802
OE;11;0.692429099;8.974298638
OE;12;0.694862366;8.984839859
OE;13;0.688217512;8.957390867
OE;14;0.688217512;8.957390867
OE;15;0.692848299;8.983191218
OE;16;0.692848299;8.983191218
OE;17;0.696501069;8.976089362
OE;18;0.689732629;8.929905439
OE;19;0.695403331;8.996223081
OE;20;0.695403331;8.996223081
OE;21;0.695403331;8.996223081
OE;22;0.689687049;8.972186816
OE;23;0.689687049;8.972186816
OE;24;0.689687049;8.972186816
OE;25;0.690197023;8.945246395
OE;26;0.691706754;8.943585611
OE;27;0.688502789;8.80353479
OE;28;0.688852199;8.896346494
OE;29;0.688502789;8.80353479
OE;30;0.688502789;8.80353479
OE;31;0.673803378;8.736014601
OE;32;0.693221799;8.917707021
OE;33;0.691396982;8.954799001
OE;34;3.325802414;21.53128697
OE;35;2.852405957;18.79255983
OE;36;2.852405957;18.79255983
OE;37;2.852405957;18.79255983
OE;38;2.852405957;18.79255983
OE;39;2.852405957;18.79255983
OE;40;3.5491232;22.43326812
OE;41;0.504005241;10.42891621
OE;42;0.758630045;10.48672152
OE;43;0.816391195;16.44509568
OE;44;2.184298804;12.18433986
OE;45;2.184298804;12.18433986
OE;46;2.297636982;12.30827878
OE;47;2.297636982;12.30827878
OE;48;2.278258548;12.2512195
OE;49;2.392115264;12.87385685
